# source=Generated from data/weapons/ JSON + validate_and_clean_tsv.py
127	12.7	1143.0	381.0	379.0	42.0
127afv	12.7	610.0	381.0	400.0	41.9
127apc	12.7	610.0	381.0	400.0	41.9
127lsv01	12.7	610.0	381.0	400.0	41.9
127lxws	12.7	610.0	381.0	400.0	41.9
127mbt	12.7	610.0	381.0	400.0	41.9
127ugv	12.7	610.0	381.0	400.0	41.9
20mm	20.0	500.0	0	200.0	100.0
2xmg131fw190	7.62	508.0	240.0	380.0	9.5
40mm	40.0	400.0	0	80.0	230.0
4fivef	11.43	127	406	220	14.9
65mmbody	6.5	550.0	254.0	380.0	7.9
8xm2p47	12.7	610.0	381.0	400.0	41.9
aa40baselxws	18.5	457.0	0	79.0	32.0
aa40holosightblklxws	18.5	457.0	178.0	70.0	28.0
aa40lxws	18.5	457.0	178.0	70.0	28.0
aa40snakeholoirsndlxws	18.5	457.0	178.0	70.0	28.0
aa40snakehololxws	18.5	457.0	178.0	70.0	28.0
aa40snakeholopointerbipodsndlxws	18.5	457.0	178.0	70.0	28.0
aa40snakelxws	18.5	457.0	178.0	70.0	28.0
aa40tanlxws	18.5	457.0	178.0	70.0	28.0
accflashlightsmg01	7.62	508.0	240.0	380.0	9.5
accpointerirsnakelxws	7.62	508.0	240.0	380.0	9.5
acpc2basef	11.43	89.0	406.0	145.0	15.0
acpc2f	11.43	108	406	145	15.0
acpc2sndsf	9.0	127.0	406.4	250.0	8.0
afmcgrvm16	5.56	508.0	178.0	380.0	4.0
afmcgrvm24	12.7	508.0	381.0	400.0	41.9
afmcgrvmg	7.62	508.0	240.0	380.0	9.5
afmcgryfal	7.62	508.0	240.0	380.0	9.5
afmcgrymg	7.62	508.0	240.0	380.0	9.5
ag17	9.0	508.0	254.0	250.0	8.0
agm65bpylons	6.5	610.0	203.0	400.0	8.0
agm65dpylons	6.5	610.0	203.0	400.0	8.0
aim9m	9.0	508.0	254.0	250.0	8.0
aim9mpylons	9.0	508.0	254.0	250.0	8.0
ak01	7.62	508.0	240.0	380.0	9.5
ak103	7.62	415.0	199.9	355	7.97
ak104	7.62	314.96	199.9	350	7.97
ak105	5.45	314.96	199.9	350	3.43
ak12762f	7.62	415	240	355	8.0
ak12aridf	7.62	415.0	240.0	355.0	8.0
ak12basef	7.62	415.0	240.0	355.0	8.0
ak12f	7.62	415.0	240.0	355.0	8.0
ak12glaridf	7.62	415.0	240.0	355.0	8.0
ak12glbasef	7.62	415.0	240.0	380.0	9.5
ak12glf	7.62	415.0	240.0	355.0	8.0
ak12gllusharcopointerf	7.62	415.0	240.0	380.0	9.5
ak12gllusharcosndspointerf	7.62	415.0	240.0	380.0	9.5
ak12gllushf	7.62	415.0	240.0	355.0	8.0
ak12gllushholopointerf	7.62	415.0	240.0	380.0	9.5
ak12gllushholosndspointerf	7.62	415.0	240.0	380.0	9.5
ak12lusharcopointerf	7.62	415.0	240.0	380.0	9.5
ak12lusharcosndspointerbipodf	7.62	415.0	240.0	380.0	9.5
ak12lusharcosndspointerf	7.62	415.0	240.0	380.0	9.5
ak12lushf	7.62	415.0	240.0	355.0	8.0
ak12lushsndspointerf	7.62	415.0	240.0	380.0	9.5
ak12uaridf	7.62	314.0	240.0	355.0	8.0
ak12ubasef	7.62	314.0	240.0	380.0	9.5
ak12uf	7.62	314.0	240.0	355.0	8.0
ak12ulushf	7.62	314.0	240.0	355.0	8.0
ak12ulushholof	7.62	314.0	240.0	380.0	9.5
ak12ulushholoflf	7.62	314.0	240.0	380.0	9.5
ak12ulushholopointerf	7.62	314.0	240.0	380.0	9.5
ak12ulushholosndspointerf	7.62	314.0	240.0	380.0	9.5
ak12ulushsndspointerf	7.62	314.0	240.0	380.0	9.5
ak47	7.62	415.0	240.0	355.0	7.9
ak47base	7.62	415.0	240.0	355.0	8.0
ak74	5.45	414.0	200.0	355.0	3.43
ak74base	5.45	414.0	200.0	355.0	3.43
ak74m	5.45	414.02	199.9	355	3.43
ak74mf	5.45	415.0	200.0	355.0	3.43
ak74nbase	5.56	414.02	199.898	380.0	4.0
ak74nwud	5.56	414.02	199.898	380.0	4.0
ak74wud	5.56	414.02	199.898	380.0	4.0
akm	7.62	415.0	240.0	380.0	7.9
akmbase	7.62	415.0	240.0	380.0	9.5
akmbasef	7.62	415.0	240.0	380.0	9.5
akmf	7.62	415.0	240.0	355.0	8.0
akmflf	7.62	415.0	240.0	380.0	9.5
akmlbase	7.62	415.0	240.0	380.0	9.5
akmlwud	7.62	415.0	240.0	380.0	9.5
akmnbase	7.62	415.0	240.0	380.0	9.5
akmnwud	7.62	415.0	240.0	380.0	9.5
akmpalladbase	7.62	415.0	240.0	380.0	9.5
akmpalladwud	7.62	415.0	240.0	380.0	9.5
akmsbase	7.62	415.0	240.0	380.0	9.5
akmslbase	7.62	415.0	240.0	380.0	9.5
akmslwud	7.62	415.0	240.0	380.0	9.5
akmsnbase	7.62	415.0	240.0	380.0	9.5
akmsnwud	7.62	415.0	240.0	380.0	9.5
akmswud	7.62	415.0	240.0	380.0	9.5
akmwud	7.62	415.0	240.0	380.0	9.5
aks	5.45	414.0	200.0	355.0	3.43
aks74base	5.56	414.02	199.898	380.0	4.0
aks74nbase	5.56	414.02	199.898	380.0	4.0
aks74nkbase	5.45	317.0	200.0	355.0	3.43
aks74u	5.45	210.82	160.0	340	3.43
aks74ubase	5.56	414.02	199.898	380.0	4.0
aksbasef	7.62	210.0	160.0	380.0	9.5
aksf	5.45	210.0	200.0	355.0	3.43
anpvs4fal	7.62	508.0	240.0	380.0	9.5
anpvs4m16	5.56	508.0	178.0	380.0	4.0
anpvs4m21	12.7	610.0	381.0	400.0	41.9
anpvs4m60	7.62	610.0	240.0	380.0	9.5
ariflemxarcoy	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyaco	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyacopointer	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyacopointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyhamrpointer	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyholo	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyholopointer	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyholopointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarcoymbspointerbisnds	6.5	406.4	228.6	400.0	8.0
ariflemxarcoymbspointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarcoypointer	6.5	406.4	228.6	400.0	8.0
ariflemxarcoyrcopointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoy	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoyaco	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoyacopointer	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoyhamrpointer	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoyhamrpointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarglcoyholopointersnds	6.5	406.4	228.6	400.0	8.0
ariflemxarglkhk	6.5	406.4	228.6	400.0	8.0
ariflemxarkhk	6.5	406.4	228.6	400.0	8.0
ariflemxaroldgrip	6.5	406.4	228.6	400.0	8.0
ariflemxccoy	6.5	266.7	203.2	400.0	8.0
ariflemxccoyacopointersnds	6.5	266.7	203.2	400.0	8.0
ariflemxccoyholo	6.5	266.7	203.2	400.0	8.0
ariflemxcoy	6.5	368.3	228.6	400.0	8.0
ariflemxcoyacopointersnds	6.5	368.3	228.6	400.0	8.0
ariflemxcoyholopointersnds	6.5	368.3	228.6	400.0	8.0
ariflemxcoymbspointersnds	6.5	368.3	228.6	400.0	8.0
ariflemxcoyrcopointersnds	6.5	368.3	228.6	400.0	8.0
ariflemxglcoy	6.5	368.3	228.6	400.0	8.0
ariflemxglcoyholopointersnds	6.5	368.3	228.6	400.0	8.0
ariflemxgripcoy	6.5	368.3	228.6	400.0	8.0
ariflemxgripkhk	6.5	368.3	228.6	400.0	8.0
ariflemxmcoy	6.5	457.2	228.6	400.0	8.0
ariflemxmdmslpbisnds	6.5	457.2	228.6	400.0	8.0
ariflemxmhamrlpbi	6.5	457.2	228.6	400.0	8.0
ariflemxmmbslpbi	6.5	457.2	228.6	400.0	8.0
ariflemxmmbslpbisnds	6.5	457.2	228.6	400.0	8.0
ariflemxswcoy	6.5	406.4	228.6	400.0	8.0
